frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,1,[502.52886962890625 908.383056640625 969.1192016601562 1324.788330078125],car,[639.333740234375 1186.20947265625 806.853759765625 1227.781005859375],0.4490344226360321,NA13NRU,0.5593764293998396
1,1,[500.56768798828125 911.6105346679688 969.2999877929688 1328.635498046875],car,[634.7841796875 1191.992431640625 810.03515625 1230.197021484375],0.2976168096065521,NA13NRU,0.3037540608202343
2,1,[496.6407470703125 916.0711669921875 964.8265380859375 1335.3897705078125],car,[627.04052734375 1199.061279296875 803.76318359375 1237.843017578125],0.26343289017677307,NA13NRU,0.8153110749156879
3,1,[492.5245056152344 921.749267578125 964.8541259765625 1341.494873046875],car,[627.8592529296875 1203.6004638671875 795.4925537109375 1246.5863037109375],0.32977309823036194,NA(JNFU,0.11922928214500784
4,1,[491.4833984375 924.4878540039062 964.5249633789062 1345.7181396484375],car,[630.7074584960938 1205.087646484375 799.7389526367188 1248.023193359375],0.4806262254714966,NA13NRU,0.6317556705620118
5,1,[487.5941467285156 926.480712890625 961.8460693359375 1352.51806640625],car,[626.58837890625 1211.922607421875 796.947021484375 1252.570068359375],0.7396341562271118,NA13NRU,0.6245109127124285
6,1,[484.5618591308594 931.03515625 960.6104125976562 1360.2613525390625],car,[618.7168579101562 1215.55029296875 790.7708129882812 1259.577392578125],0.49329686164855957,NA13NRU,0.14464742101343425
7,1,[482.7810974121094 931.630126953125 960.2752075195312 1364.857421875],car,[613.848388671875 1219.806884765625 796.667724609375 1262.853271484375],0.5068692564964294,NA13NRU,0.3107723524289209
8,1,[478.6710510253906 936.7551879882812 958.3140258789062 1371.1697998046875],car,[617.849365234375 1227.8516845703125 791.69287109375 1273.5477294921875],0.5279861688613892,NA13NRU,0.3198445997520535
9,1,[474.7288818359375 944.1504516601562 956.5090942382812 1378.28271484375],car,[609.6627197265625 1234.915283203125 786.3538818359375 1279.215087890625],0.3918159306049347,NA13NRU,0.607225641476414
10,1,[472.71484375 948.6102294921875 954.2310180664062 1381.4439697265625],car,[608.58740234375 1238.83935546875 784.604248046875 1283.249267578125],0.6825355887413025,NA13NFU,0.7828392085769822
10,2,[1448.581298828125 802.1504516601562 1891.5052490234375 1192.5079345703125],car,[1610.4886474609375 1079.672119140625 1729.2564697265625 1120.067626953125],0.3034733235836029,MVEIVSU,0.0962965054236757
